"current_seed","Nsamp","nullpi","poisthin","mse_ols","mse_biash_ols","mse_biash_voom","mse_ols_ash","mse_succotash","mse_cate_rr","mse_sva_ols","mse_ruvash","mse_cate_nc","mse_ruv2","mse_ruv4"
83,20,0.9,TRUE,0.139327407897867,0.0452809080226871,0.0156960831316702,0.0669670867723966,0.0103863702775992,0.0276675334908925,0.0328352638507595,0.0101997427811408,0.0288902759593393,0.0279997940289865,0.0290524729943344
84,20,0.9,TRUE,0.0925933898035709,0.0241783534495024,0.0146307001892057,0.0324595781828066,0.00567062908840629,0.0136570293502375,0.0135450187099307,0.0057215673711981,0.0138830618423551,0.0134067722585969,0.0138175587822503
85,20,0.9,TRUE,0.0389441837135982,0.0145518509764538,0.0362509885492323,0.017886881121377,0.00952865368439733,0.0316790728937597,0.0314943556711733,0.0100549155374948,0.0364834077757817,0.0335292596058076,0.0322522479336461
86,20,0.9,TRUE,0.141312303744159,0.0410280325983071,0.0381786024578738,0.0393315994385324,0.0124530725515136,0.0412296492783248,0.0460609749338079,0.0124773513589491,0.0431761673218153,0.0432492218835213,0.0424491982294352
87,20,0.9,TRUE,0.06344328353876,0.0216962773636843,0.0185397135439299,0.0256413272054847,0.0112486511979381,0.0335896699762481,0.0318696419134986,0.0119347579445364,0.0365383371031838,0.0360721051783538,0.0366422320127191
88,20,0.9,TRUE,0.180829441207301,0.0671219826514282,0.0394981569567058,0.10243808553356,0.0202398776798395,0.0306077185827706,0.0470189953914019,0.0195017771720291,0.0336579887997871,0.0328664407041253,0.032929346916117
89,20,0.9,TRUE,0.155341298214059,0.0413558669190633,0.0198262163965569,0.0664428890132892,0.00883520749748214,0.0274311645680306,0.0291790742414336,0.00861010766483515,0.0281690411090365,0.0301016844684701,0.0302047484750083
90,20,0.9,TRUE,0.0470907028146038,0.015700136303986,0.016874413523664,0.0195366754538648,0.00860536283444729,0.0304357438626012,0.0298411253442755,0.00855528321205836,0.0321476435549212,0.0313110889818687,0.0307357131891817
91,20,0.9,TRUE,0.0373375533598959,0.0195155473968283,0.0289969215763876,0.0234602498769441,0.00659794883255468,0.0195073766552406,0.0187798506972835,0.00640148104632118,0.0189075283302987,0.0218187124795231,0.0215979356963609
92,20,0.9,TRUE,0.0292890344737945,0.0177402586253548,0.0193953899900314,0.0203983833779721,0.0131478346189288,0.0268454665538448,0.0267932050047668,0.0128819572637649,0.0296054561602971,0.0276548337430886,0.0274915318238555
93,20,0.9,TRUE,0.0941219787683975,0.0284222478684475,0.0250222043688332,0.0403081246387622,0.0126494510228154,0.0328803495952284,0.0353183365930446,0.0127965854206947,0.0342701757193251,0.0340943565718951,0.0342904544807823
94,20,0.9,TRUE,0.0863197086930545,0.0299461158022906,0.0310181327547969,0.0351894416209397,0.0109588079874357,0.0235152563681464,0.0297501062588686,0.0103013430579564,0.0243594082269459,0.0279652103562034,0.0256123791908104
95,20,0.9,TRUE,0.0905297503165332,0.020422738044057,0.0243428821204678,0.0208109969474254,0.00712072509355985,0.0216583622536141,0.0213723915751978,0.00693590776943069,0.0238336369838067,0.0239400301071917,0.0243678432648149
96,20,0.9,TRUE,0.082881517613634,0.0329572355989961,0.034072839730751,0.0356066992376078,0.0109629739129697,0.0237902811195824,0.0265765074688847,0.0113330076669262,0.0264854671029803,0.0241964032289516,0.0246626156830941
97,20,0.9,TRUE,0.0824522866009069,0.0306103737408244,0.0256379282210083,0.0336686043008744,0.0128459749541362,0.0405696926530545,0.0425223979602862,0.0134320757725146,0.0394027692873404,0.04370038301594,0.0420084518840558
98,20,0.9,TRUE,0.0373733424834042,0.0207076666066096,0.0238800584735894,0.0265521205883924,0.00766413204939809,0.0226269762188665,0.0228322837325132,0.00844268718748461,0.0244464638495697,0.025402113874006,0.0241657997767342
99,20,0.9,TRUE,0.0855996319176452,0.0280460083775271,0.0285595963563196,0.0288413476378166,0.0118710572832316,0.0296048996932717,0.0295090254552115,0.0113391608069059,0.0329565811304746,0.0297955868324922,0.0305978503862786
100,20,0.9,TRUE,0.042588169941066,0.0155765546392925,0.0145046805712607,0.0182299746632094,0.00707905864873163,0.0231240506974646,0.0232151869005171,0.00742907046367379,0.0244173108836403,0.0234789795870291,0.0237487738658858
1,5,1,FALSE,0.221057082327851,0.000217015875922014,3.23121668535282e-13,0.000464755580440317,4.5258565086407e-05,0.109661392645083,0.108964351590044,2.10150554220798e-34,0.11143377745806,0.110907510542639,0.111540837701787
2,5,1,FALSE,0.323180875933469,0.000444088658711722,0.00198929809664408,0.00206097804313879,6.31913885151548e-11,0.15550514867759,0.150758323412798,4.042857972478e-34,0.154804589533189,0.155940567166284,0.156514984890674
3,5,1,FALSE,0.15753656109441,1.12647858129859e-13,0.000219119219042516,7.29233454148676e-05,0.0135360741975059,0.148222547105568,0.152542216688455,2.56612109496371e-34,0.155004486685606,0.157641715292884,0.152002487294016
4,5,1,FALSE,0.178113444631065,1.56644911758969e-12,2.29662372320449e-15,0.0030533008060211,0.000636273439190066,0.113705389143856,0.11860811801701,0.000460403358904189,0.130412308432246,0.110921311947547,0.113921819886536
5,5,1,FALSE,0.494025619615722,0.000399243155977845,0.00856849851402527,0.0272386134253004,0.00834610059386783,0.403015082044645,0.479034056758957,6.5225981001704e-34,0.411147509316967,0.510042657770161,0.39937419954633
6,5,1,FALSE,0.169333106233357,1.91433027750568e-16,0.000210186175370652,2.33760123158193e-34,0.0103570105130307,0.157371622362354,0.156034828335735,0.000557344320021033,0.159145843885823,0.156588411720525,0.156902448834631
7,5,1,FALSE,0.17506936735213,3.69127932695101e-14,0.000159023835440459,0.00506866363107198,0.00196906244220718,0.1405310404282,0.139333732772453,0.000420559259893538,0.159152429718204,0.145953029970539,0.145313435101454
8,5,1,FALSE,0.24156656250567,5.7977004235726e-16,0.000653266641695358,5.25116836399332e-34,0.0256476590800423,0.218544763675451,0.211259310912264,1.69093696416719e-05,0.274805805341006,0.217772548754389,0.223044649916606
9,5,1,FALSE,0.171309016147299,0.000750303540382065,6.18005898270403e-12,0.000228597632254581,0.000627401145865472,0.165103618907268,0.168265783678968,6.30525389668076e-34,0.172550655892266,0.171246169782722,0.167330652766842
10,5,1,FALSE,0.115340633165845,1.63894037346542e-17,3.37599091921645e-15,3.1756177370515e-34,1.38073148506194e-06,0.113926802124981,0.113239793718582,9.29080642234555e-35,0.114559934091809,0.115350651600291,0.115183782598538
11,5,1,FALSE,0.211186928695781,3.49602553951498e-16,0.000262340917631622,3.55526667733884e-34,0.00454040193991888,0.183765947845407,0.189402303966444,0.00218081827913604,0.204334447843409,0.212739891595698,0.189093703317086
12,5,1,FALSE,0.274040186539775,4.59673432965161e-14,0.00173194261242181,4.54990913015495e-05,0.000543167805054804,0.136220625612087,0.140511486492668,7.88359143617431e-05,0.136208850546029,0.146858779996594,0.136992420404689
13,5,1,FALSE,0.185607216633457,8.3919919495618e-16,2.60503304012392e-18,3.76928681790322e-34,0.00225958019175678,0.169342920970181,0.169452250106357,0.000151985920287734,0.18361503375239,0.171537895412962,0.169899263702202
14,5,1,FALSE,0.229435152941455,4.24244879746543e-13,3.77776233229044e-13,0.0298352862889085,0.000449050773678408,0.110778948054671,0.118834424613241,1.62212954198784e-34,0.119072213289916,0.114329858000866,0.111237641286935
15,5,1,FALSE,0.406874074249237,3.97861918553809e-16,2.89608200996237e-17,0.000137024780952561,0.00593601740042709,0.155222309176695,0.158648565652791,0.000921925547547138,0.156003854985724,0.16091999746336,0.158393511547652
16,5,1,FALSE,0.231171326782726,3.23860384699722e-19,1.62188745465958e-13,0.00489483561852476,0.00550747444935538,0.119722057123229,0.121825702805978,1.91563919756075e-34,0.119271214850587,0.120537457601108,0.119654984153786
17,5,1,FALSE,0.364928730890184,1.20144706040946e-12,1.36074604710001e-12,0.0405229446792481,0.00236456401423724,0.252774022583201,0.25100438240183,0.00100219416089822,0.265470938862533,0.259042522664107,0.251592681346494
18,5,1,FALSE,0.448950153789479,1.44840510459409e-16,7.69674486395946e-14,0.0740771593815018,0.000542212782035513,0.174513485657377,0.173077191973811,3.47993723775622e-34,0.195751107905966,0.179912858628442,0.17458665362934
19,5,1,FALSE,0.914373788415072,0.00783104362940759,1.84027166324083e-05,0.241844043601629,0.000382235221250085,0.541170120633149,0.712664579327646,4.85371203567402e-05,0.543746942651871,0.464434390001829,0.541325364557015
20,5,1,FALSE,0.233925162788592,3.47755081776458e-16,0.000115576497853121,2.22932409593899e-34,0.000224316781152234,0.159519096467224,0.159686307256137,4.24807777193114e-06,0.160415975338891,0.159870549657222,0.161140117153928
21,5,1,FALSE,0.129453417504001,4.28377786565166e-15,6.20538001387425e-13,1.67983101041677e-05,0.000134023868694964,0.114034192961818,0.112618849047613,3.73258424847598e-10,0.113631879703604,0.122109932407655,0.11994929738686
22,5,1,FALSE,0.321760594504225,0.00103742176704659,0.000378310767945452,0.0117782283908185,0.00605683530330825,0.171809390789132,0.184860038350985,7.25585467575521e-05,0.175272596386215,0.183488168380609,0.171716790974699
23,5,1,FALSE,0.272571580291905,4.47066936809886e-14,3.50289185239185e-12,0.0163165234740584,0.00771287429033623,0.103758380944617,0.105343168838591,0.000179246265836486,0.109628886407197,0.108315427365403,0.104165914961576
24,5,1,FALSE,0.463124848675129,1.90891424451214e-21,6.00303542788839e-13,0.0544898123080612,0.00033269747175959,0.177641811817635,0.168708730031708,0.000427120171451583,0.17985822692765,0.188510575204802,0.184086130680005
25,5,1,FALSE,0.204684867356817,4.94906862327515e-13,5.22126762211987e-16,0.00077994795149355,0.00937779920450166,0.14801901432387,0.168542859655939,0.00857800421550523,0.15361106760666,0.170504972601234,0.150549484504255
