"current_seed","Nsamp","nullpi","poisthin","auc_ols","auc_biash_ols","auc_biash_voom","auc_ols_ash","auc_succotash","auc_cate_rr","auc_sva_ols","auc_ruvash","auc_cate_nc","auc_ruv2","auc_ruv4"
81,10,0.5,TRUE,0.805,0.84072,0.848424,0.840808,0.85516,0.851484,0.848816,0.85492,0.852664,0.82804,0.84456
82,10,0.5,TRUE,0.755156,0.771272,0.84944,0.765488,0.90064,0.872712,0.867864,0.899312,0.87868,0.86448,0.86272
83,10,0.5,TRUE,0.803312,0.813032,0.81916,0.811872,0.884544,0.874696,0.853224,0.884216,0.864812,0.862508,0.860056
84,10,0.5,TRUE,0.757392,0.844104,0.852368,0.843112,0.860552,0.847408,0.852664,0.861392,0.85412,0.856928,0.848516
85,10,0.5,TRUE,0.736008,0.753608,0.847744,0.749544,0.880936,0.832792,0.822712,0.880696,0.854868,0.850172,0.84628
86,10,0.5,TRUE,0.621,0.632472,0.85428,0.601232,0.850744,0.806088,0.73124,0.850824,0.838424,0.821776,0.811256
87,10,0.5,TRUE,0.772828,0.79796,0.894352,0.786808,0.909344,0.877616,0.872044,0.90956,0.892624,0.854976,0.87924
88,10,0.5,TRUE,0.805744,0.813128,0.815648,0.812088,0.857808,0.836888,0.83844,0.85584,0.844208,0.85836,0.83388
89,10,0.5,TRUE,0.784512,0.867864,0.870072,0.866896,0.874432,0.853704,0.855712,0.872568,0.858244,0.860276,0.860328
90,10,0.5,TRUE,0.710464,0.729096,0.850392,0.728392,0.878128,0.853824,0.834484,0.876408,0.854672,0.837976,0.835888
91,10,0.5,TRUE,0.792348,0.819688,0.86076,0.819432,0.907096,0.880192,0.877676,0.90472,0.884676,0.874264,0.887496
92,10,0.5,TRUE,0.816484,0.832152,0.84792,0.831688,0.86304,0.851776,0.846792,0.865928,0.854752,0.838604,0.844208
93,10,0.5,TRUE,0.770944,0.800696,0.856576,0.790312,0.86444,0.842568,0.846784,0.86268,0.8492,0.840032,0.84596
94,10,0.5,TRUE,0.7474,0.763752,0.79264,0.766032,0.851,0.831928,0.808728,0.849824,0.838932,0.822588,0.833656
95,10,0.5,TRUE,0.815916,0.821088,0.82656,0.820528,0.886296,0.877832,0.88084,0.888256,0.886264,0.883448,0.884464
96,10,0.5,TRUE,0.82316,0.835688,0.831448,0.835552,0.856464,0.826816,0.82952,0.857192,0.836944,0.836804,0.837888
97,10,0.5,TRUE,0.799576,0.826272,0.868232,0.825232,0.892064,0.851776,0.83736,0.889528,0.857088,0.853056,0.857048
